storyid,first_two_sentences,sentence5
8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd,David noticed he had put on a lot of weight recently. He examined his habits to try and figure out the reason.,"After a few weeks, he started to feel much better."
0beabab2-fb49-460e-a6e6-f35a202e3348,Tom had a very short temper. One day a guest made him very angry.,Tom sat on his couch filled with regret about his actions.
87da1a22-df0b-410c-b186-439700b70ba6,Marcus needed clothing for a business casual event. All of his clothes were either too formal or too casual.,Marcus was happy to have the right clothes for the event.
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9,Bobby thought Bill should buy a trailer and haul it with his car. Bill thought a truck would be better for what he needed.,He ended up buying the truck he wanted despite Bobby's advice.
c71bb23b-7731-4233-8298-76ba6886cee1,John was a pastor with a very bad memory. He tried to memorize his sermons many days in advance but to no avail.,His congregation was delighted and so was he.
4d7b022e-25d2-4300-a9b0-24ab35f4045b,Melody's parents surprised her with a trip to the big aquarium. Melody took a nap during the two hour car ride to the aquarium.,"After five hours at the aquarium, Melody and her family drove home."
8036c905-f23e-4976-83a1-85d679b5e0c2,"The math teacher announced a pop quiz as class began. While some students complained, he began passing out the quiz.",I stood up feeling confident and turned it in.
77338898-07d4-4143-8451-284540c8b082,My first girlfriend i met on the internet. She lives about 4 hours away from me.,We decided we couldn't be apart so she moved in with me.
110fafd1-2bb7-4ffe-aac7-475706165d41,"I got Charlie Horse when I was four years old. He's a brown stuffed horse, and at 35 I still sleep with him at night.",I liked to listen to my radio as I fell asleep cuddling him.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6,Laura loved corn. So she decided to grow some in her backyard.,So Laura quickly abandoned her corn garden idea.
